Z	Area
6630	1,51E+08
72541	1,28E+08
209100	1,00E+08
416150	7,51E+07
693646	5,37E+07
6630	1,50E+08
72541	1,29E+08
209100	1,00E+08
416150	7,52E+07
693646	5,37E+07
6630	1,53E+08
72541	1,30E+08
209100	1,01E+08
416150	7,52E+07
693646	5,40E+07
6630	1,54E+08
72541	1,31E+08
209100	1,01E+08
416150	7,55E+07
693646	5,41E+07
6630	1,56E+08
72541	1,32E+08
209100	1,02E+08
416150	7,60E+07
693646	5,42E+07
6630	1,57E+08
72541	1,33E+08
209100	1,02E+08
416150	7,57E+07
693646	5,43E+07
6630	1,58E+08
72541	1,34E+08
209100	1,02E+08
416150	7,60E+07
693646	5,46E+07
6630	1,59E+08
72541	1,34E+08
209100	1,02E+08
416150	7,62E+07
693646	5,47E+07
6630	1,59E+08
72541	1,35E+08
209100	1,03E+08
416150	7,63E+07
693646	5,46E+07
6630	1,60E+08
72541	1,35E+08
209100	1,03E+08
416150	7,64E+07
693646	5,48E+07
6630	1,60E+08
72541	1,35E+08
209100	1,03E+08
416150	7,65E+07
693646	5,48E+07
6630	1,61E+08
72541	1,36E+08
209100	1,03E+08
416150	7,65E+07
693646	5,51E+07
6630	1,62E+08
72541	1,36E+08
209100	1,04E+08
416150	7,69E+07
693646	5,50E+07
6630	1,62E+08
72541	1,36E+08
209100	1,04E+08
416150	7,68E+07
693646	5,51E+07
6630	1,62E+08
72541	1,36E+08
209100	1,04E+08
416150	7,70E+07
693646	5,51E+07
6630	1,63E+08
72541	1,36E+08
209100	1,04E+08
416150	7,69E+07
693646	5,53E+07
6630	1,63E+08
72541	1,37E+08
209100	1,04E+08
416150	7,71E+07
693646	5,53E+07
6630	1,63E+08
72541	1,37E+08
209100	1,04E+08
416150	7,72E+07
693646	5,53E+07
6630	1,64E+08
72541	1,38E+08
209100	1,05E+08
416150	7,75E+07
693646	5,53E+07
6630	1,64E+08
72541	1,37E+08
209100	1,04E+08
416150	7,76E+07
693646	5,54E+07
6630	1,64E+08
72541	1,38E+08
209100	1,05E+08
416150	7,75E+07
693646	5,55E+07
6630	1,65E+08
72541	1,38E+08
209100	1,05E+08
416150	7,73E+07
693646	5,55E+07
6630	1,65E+08
72541	1,38E+08
209100	1,04E+08
416150	7,74E+07
693646	5,55E+07
6630	1,65E+08
72541	1,38E+08
209100	1,05E+08
416150	7,74E+07
693646	5,56E+07
6630	1,65E+08
72541	1,38E+08
209100	1,05E+08
416150	7,74E+07
693646	5,57E+07
6630	1,65E+08
72541	1,38E+08
209100	1,05E+08
416150	7,74E+07
693646	5,57E+07
6630	1,65E+08
72541	1,39E+08
209100	1,05E+08
416150	7,76E+07
693646	5,58E+07
6630	1,65E+08
72541	1,39E+08
209100	1,05E+08
416150	7,77E+07
693646	5,57E+07
6630	1,66E+08
72541	1,39E+08
209100	1,05E+08
416150	7,77E+07
693646	5,58E+07
6630	1,66E+08
72541	1,39E+08
209100	1,05E+08
416150	7,79E+07
693646	5,57E+07
6630	1,66E+08
72541	1,39E+08
209100	1,05E+08
416150	7,76E+07
693646	5,58E+07
6630	1,67E+08
72541	1,40E+08
209100	1,05E+08
416150	7,77E+07
693646	5,58E+07
6630	1,67E+08
72541	1,40E+08
209100	1,06E+08
416150	7,78E+07
693646	5,59E+07
6630	1,67E+08
72541	1,40E+08
209100	1,05E+08
416150	7,79E+07
693646	5,60E+07
6630	1,68E+08
72541	1,40E+08
209100	1,06E+08
416150	7,81E+07
693646	5,60E+07
6630	1,68E+08
72541	1,41E+08
209100	1,06E+08
416150	7,81E+07
693646	5,63E+07
6630	1,68E+08
72541	1,41E+08
209100	1,06E+08
416150	7,80E+07
693646	5,60E+07
6630	1,69E+08
72541	1,41E+08
209100	1,06E+08
416150	7,84E+07
693646	5,60E+07
6630	1,68E+08
72541	1,41E+08
209100	1,06E+08
416150	7,78E+07
693646	5,62E+07
6630	1,69E+08
72541	1,41E+08
209100	1,06E+08
416150	7,82E+07
693646	5,62E+07
6630	1,69E+08
72541	1,42E+08
